bits,time
31,00:00:00
32,00:00:02
33,00:00:01
34,00:00:05
35,00:00:07
36,00:00:22
37,00:00:35
38,00:00:23
39,00:00:56
40,00:01:12
41,00:02:05
42,00:01:49
43,00:02:20
44,00:05:40
45,00:02:12
46,00:13:47
47,00:18:59
48,00:33:48
49,00:47:42
50,00:09:10
51,00:15:47
52,00:09:06
53,01:22:29
54,00:41:24
55,00:54:31
56,02:51:28
57,06:19:12
58,17:17:56
59,09:22:22
60,27:44:51
61,00:42:03
61,83:55:01
62,01:47:57
62,40:22:44
62,168:53:57
63,17:58:45
63,60:53:28
64,126:29:52
65,92:45:48
66,204:14:33
