bits,time
31,00:00:00
32,00:00:01
33,00:00:01
34,00:00:02
35,00:00:01
36,00:00:02
37,00:00:05
38,00:00:03
39,00:00:02
40,00:00:05
41,00:00:14
42,00:00:17
43,00:00:11
44,00:00:14
45,00:00:31
46,00:00:53
47,00:01:01
48,00:01:51
49,00:01:37
50,00:03:03
51,00:01:41
52,00:13:16
53,00:10:22
54,00:13:21
55,00:49:54
56,00:43:14
57,00:27:50
58,00:12:14
59,01:10:37
60,00:55:52
61,00:42:03
62,01:47:57
63,17:58:45
64,06:28:49
65,25:05:29
65,02:53:52
65,03:41:23
